,,,,,,,,,,10,,,,,100,,,10,,,,,,,,,,,,,10,,,,,,,10,,,,
medv,crim,,medv,zn,,medv,indus,,medv,chas,chas,,medv,nox,nox,,medv,rm,rm,,medv,age,,medv,dis,,medv,rad,,medv,medv,tax,,medv,ptratio,,medv,medv,black,,medv,lstat
24,0.00632,,24,18,,24,2.31,,24,0,0,,24,53.8,0.538,,24,65.75,6.575,,24,65.2,,24,4.09,,24,1,,24,240,296,,24,15.3,,24,240,396.9,,24,4.98
21.6,0.02731,,21.6,0,,21.6,7.07,,21.6,0,0,,21.6,46.9,0.469,,21.6,64.21,6.421,,21.6,78.9,,21.6,4.9671,,21.6,2,,21.6,216,242,,21.6,17.8,,21.6,216,396.9,,21.6,9.14
33.4,0.03237,,33.4,0,,33.4,2.18,,33.4,0,0,,33.4,45.8,0.458,,33.4,69.98,6.998,,33.4,45.8,,33.4,6.0622,,33.4,3,,33.4,334,222,,33.4,18.7,,33.4,334,394.63,,33.4,2.94
36.2,0.06905,,36.2,0,,36.2,2.18,,36.2,0,0,,36.2,45.8,0.458,,36.2,71.47,7.147,,36.2,54.2,,36.2,6.0622,,36.2,3,,36.2,362,222,,36.2,18.7,,36.2,362,396.9,,36.2,5.33
22.9,0.08829,,22.9,12.5,,22.9,7.87,,22.9,0,0,,22.9,52.4,0.524,,22.9,60.12,6.012,,22.9,66.6,,22.9,5.5605,,22.9,5,,22.9,229,311,,22.9,15.2,,22.9,229,395.6,,22.9,12.43
15,0.22489,,15,12.5,,15,7.87,,15,0,0,,15,52.4,0.524,,15,63.77,6.377,,15,94.3,,15,6.3467,,15,5,,15,150,311,,15,15.2,,15,150,392.52,,15,20.45
18.9,0.11747,,18.9,12.5,,18.9,7.87,,18.9,0,0,,18.9,52.4,0.524,,18.9,60.09,6.009,,18.9,82.9,,18.9,6.2267,,18.9,5,,18.9,189,311,,18.9,15.2,,18.9,189,396.9,,18.9,13.27
21.7,0.09378,,21.7,12.5,,21.7,7.87,,21.7,0,0,,21.7,52.4,0.524,,21.7,58.89,5.889,,21.7,39,,21.7,5.4509,,21.7,5,,21.7,217,311,,21.7,15.2,,21.7,217,390.5,,21.7,15.71
20.4,0.62976,,20.4,0,,20.4,8.14,,20.4,0,0,,20.4,53.8,0.538,,20.4,59.49,5.949,,20.4,61.8,,20.4,4.7075,,20.4,4,,20.4,204,307,,20.4,21,,20.4,204,396.9,,20.4,8.26
18.2,0.63796,,18.2,0,,18.2,8.14,,18.2,0,0,,18.2,53.8,0.538,,18.2,60.96,6.096,,18.2,84.5,,18.2,4.4619,,18.2,4,,18.2,182,307,,18.2,21,,18.2,182,380.02,,18.2,10.26
19.9,0.62739,,19.9,0,,19.9,8.14,,19.9,0,0,,19.9,53.8,0.538,,19.9,58.34,5.834,,19.9,56.5,,19.9,4.4986,,19.9,4,,19.9,199,307,,19.9,21,,19.9,199,395.62,,19.9,8.47
23.1,1.05393,,23.1,0,,23.1,8.14,,23.1,0,0,,23.1,53.8,0.538,,23.1,59.35,5.935,,23.1,29.3,,23.1,4.4986,,23.1,4,,23.1,231,307,,23.1,21,,23.1,231,386.85,,23.1,6.58
20.2,0.80271,,20.2,0,,20.2,8.14,,20.2,0,0,,20.2,53.8,0.538,,20.2,54.56,5.456,,20.2,36.6,,20.2,3.7965,,20.2,4,,20.2,202,307,,20.2,21,,20.2,202,288.99,,20.2,11.69
13.6,1.25179,,13.6,0,,13.6,8.14,,13.6,0,0,,13.6,53.8,0.538,,13.6,55.7,5.57,,13.6,98.1,,13.6,3.7979,,13.6,4,,13.6,136,307,,13.6,21,,13.6,136,376.57,,13.6,21.02
19.6,0.85204,,19.6,0,,19.6,8.14,,19.6,0,0,,19.6,53.8,0.538,,19.6,59.65,5.965,,19.6,89.2,,19.6,4.0123,,19.6,4,,19.6,196,307,,19.6,21,,19.6,196,392.53,,19.6,13.83
15.2,1.23247,,15.2,0,,15.2,8.14,,15.2,0,0,,15.2,53.8,0.538,,15.2,61.42,6.142,,15.2,91.7,,15.2,3.9769,,15.2,4,,15.2,152,307,,15.2,21,,15.2,152,396.9,,15.2,18.72
14.5,0.98843,,14.5,0,,14.5,8.14,,14.5,0,0,,14.5,53.8,0.538,,14.5,58.13,5.813,,14.5,100,,14.5,4.0952,,14.5,4,,14.5,145,307,,14.5,21,,14.5,145,394.54,,14.5,19.88
14.8,0.95577,,14.8,0,,14.8,8.14,,14.8,0,0,,14.8,53.8,0.538,,14.8,60.47,6.047,,14.8,88.8,,14.8,4.4534,,14.8,4,,14.8,148,307,,14.8,21,,14.8,148,306.38,,14.8,17.28
12.7,1.13081,,12.7,0,,12.7,8.14,,12.7,0,0,,12.7,53.8,0.538,,12.7,57.13,5.713,,12.7,94.1,,12.7,4.233,,12.7,4,,12.7,127,307,,12.7,21,,12.7,127,360.17,,12.7,22.6
14.5,1.35472,,14.5,0,,14.5,8.14,,14.5,0,0,,14.5,53.8,0.538,,14.5,60.72,6.072,,14.5,100,,14.5,4.175,,14.5,4,,14.5,145,307,,14.5,21,,14.5,145,376.73,,14.5,13.04
13.5,1.61282,,13.5,0,,13.5,8.14,,13.5,0,0,,13.5,53.8,0.538,,13.5,60.96,6.096,,13.5,96.9,,13.5,3.7598,,13.5,4,,13.5,135,307,,13.5,21,,13.5,135,248.31,,13.5,20.34
24.7,0.17505,,24.7,0,,24.7,5.96,,24.7,0,0,,24.7,49.9,0.499,,24.7,59.66,5.966,,24.7,30.2,,24.7,3.8473,,24.7,5,,24.7,247,279,,24.7,19.2,,24.7,247,393.43,,24.7,10.13
30.8,0.02763,,30.8,75,,30.8,2.95,,30.8,0,0,,30.8,42.8,0.428,,30.8,65.95,6.595,,30.8,21.8,,30.8,5.4011,,30.8,3,,30.8,308,252,,30.8,18.3,,30.8,308,395.63,,30.8,4.32
34.9,0.03359,,34.9,75,,34.9,2.95,,34.9,0,0,,34.9,42.8,0.428,,34.9,70.24,7.024,,34.9,15.8,,34.9,5.4011,,34.9,3,,34.9,349,252,,34.9,18.3,,34.9,349,395.62,,34.9,1.98
25.3,0.1415,,25.3,0,,25.3,6.91,,25.3,0,0,,25.3,44.8,0.448,,25.3,61.69,6.169,,25.3,6.6,,25.3,5.7209,,25.3,3,,25.3,253,233,,25.3,17.9,,25.3,253,383.37,,25.3,5.81
24.7,0.15936,,24.7,0,,24.7,6.91,,24.7,0,0,,24.7,44.8,0.448,,24.7,62.11,6.211,,24.7,6.5,,24.7,5.7209,,24.7,3,,24.7,247,233,,24.7,17.9,,24.7,247,394.46,,24.7,7.44
21.2,0.12269,,21.2,0,,21.2,6.91,,21.2,0,0,,21.2,44.8,0.448,,21.2,60.69,6.069,,21.2,40,,21.2,5.7209,,21.2,3,,21.2,212,233,,21.2,17.9,,21.2,212,389.39,,21.2,9.55
19.3,0.17142,,19.3,0,,19.3,6.91,,19.3,0,0,,19.3,44.8,0.448,,19.3,56.82,5.682,,19.3,33.8,,19.3,5.1004,,19.3,3,,19.3,193,233,,19.3,17.9,,19.3,193,396.9,,19.3,10.21
20,0.18836,,20,0,,20,6.91,,20,0,0,,20,44.8,0.448,,20,57.86,5.786,,20,33.3,,20,5.1004,,20,3,,20,200,233,,20,17.9,,20,200,396.9,,20,14.15
16.6,0.22927,,16.6,0,,16.6,6.91,,16.6,0,0,,16.6,44.8,0.448,,16.6,60.3,6.03,,16.6,85.5,,16.6,5.6894,,16.6,3,,16.6,166,233,,16.6,17.9,,16.6,166,392.74,,16.6,18.8
19.4,0.21977,,19.4,0,,19.4,6.91,,19.4,0,0,,19.4,44.8,0.448,,19.4,56.02,5.602,,19.4,62,,19.4,6.0877,,19.4,3,,19.4,194,233,,19.4,17.9,,19.4,194,396.9,,19.4,16.2
19.7,0.08873,,19.7,21,,19.7,5.64,,19.7,0,0,,19.7,43.9,0.439,,19.7,59.63,5.963,,19.7,45.7,,19.7,6.8147,,19.7,4,,19.7,197,243,,19.7,16.8,,19.7,197,395.56,,19.7,13.45
20.5,0.04337,,20.5,21,,20.5,5.64,,20.5,0,0,,20.5,43.9,0.439,,20.5,61.15,6.115,,20.5,63,,20.5,6.8147,,20.5,4,,20.5,205,243,,20.5,16.8,,20.5,205,393.97,,20.5,9.43
23.4,0.04981,,23.4,21,,23.4,5.64,,23.4,0,0,,23.4,43.9,0.439,,23.4,59.98,5.998,,23.4,21.4,,23.4,6.8147,,23.4,4,,23.4,234,243,,23.4,16.8,,23.4,234,396.9,,23.4,8.43
18.9,0.0136,,18.9,75,,18.9,4,,18.9,0,0,,18.9,41,0.41,,18.9,58.88,5.888,,18.9,47.6,,18.9,7.3197,,18.9,3,,18.9,189,469,,18.9,21.1,,18.9,189,396.9,,18.9,14.8
35.4,0.01311,,35.4,90,,35.4,1.22,,35.4,0,0,,35.4,40.3,0.403,,35.4,72.49,7.249,,35.4,21.9,,35.4,8.6966,,35.4,5,,35.4,354,226,,35.4,17.9,,35.4,354,395.93,,35.4,4.81
24.7,0.02055,,24.7,85,,24.7,0.74,,24.7,0,0,,24.7,41,0.41,,24.7,63.83,6.383,,24.7,35.7,,24.7,9.1876,,24.7,2,,24.7,247,313,,24.7,17.3,,24.7,247,396.9,,24.7,5.77
31.6,0.01432,,31.6,100,,31.6,1.32,,31.6,0,0,,31.6,41.1,0.411,,31.6,68.16,6.816,,31.6,40.5,,31.6,8.3248,,31.6,5,,31.6,316,256,,31.6,15.1,,31.6,316,392.9,,31.6,3.95
23.3,0.15445,,23.3,25,,23.3,5.13,,23.3,0,0,,23.3,45.3,0.453,,23.3,61.45,6.145,,23.3,29.2,,23.3,7.8148,,23.3,8,,23.3,233,284,,23.3,19.7,,23.3,233,390.68,,23.3,6.86
18.7,0.14932,,18.7,25,,18.7,5.13,,18.7,0,0,,18.7,45.3,0.453,,18.7,57.41,5.741,,18.7,66.2,,18.7,7.2254,,18.7,8,,18.7,187,284,,18.7,19.7,,18.7,187,395.11,,18.7,13.15
16,0.17171,,16,25,,16,5.13,,16,0,0,,16,45.3,0.453,,16,59.66,5.966,,16,93.4,,16,6.8185,,16,8,,16,160,284,,16,19.7,,16,160,378.08,,16,14.44
25,0.1265,,25,25,,25,5.13,,25,0,0,,25,45.3,0.453,,25,67.62,6.762,,25,43.4,,25,7.9809,,25,8,,25,250,284,,25,19.7,,25,250,395.58,,25,9.5
33,0.01951,,33,17.5,,33,1.38,,33,0,0,,33,41.61,0.4161,,33,71.04,7.104,,33,59.5,,33,9.2229,,33,3,,33,330,216,,33,18.6,,33,330,393.24,,33,8.05
23.5,0.03584,,23.5,80,,23.5,3.37,,23.5,0,0,,23.5,39.8,0.398,,23.5,62.9,6.29,,23.5,17.8,,23.5,6.6115,,23.5,4,,23.5,235,337,,23.5,16.1,,23.5,235,396.9,,23.5,4.67
19.4,0.04379,,19.4,80,,19.4,3.37,,19.4,0,0,,19.4,39.8,0.398,,19.4,57.87,5.787,,19.4,31.1,,19.4,6.6115,,19.4,4,,19.4,194,337,,19.4,16.1,,19.4,194,396.9,,19.4,10.24
22,0.05789,,22,12.5,,22,6.07,,22,0,0,,22,40.9,0.409,,22,58.78,5.878,,22,21.4,,22,6.498,,22,4,,22,220,345,,22,18.9,,22,220,396.21,,22,8.1
17.4,0.13554,,17.4,12.5,,17.4,6.07,,17.4,0,0,,17.4,40.9,0.409,,17.4,55.94,5.594,,17.4,36.8,,17.4,6.498,,17.4,4,,17.4,174,345,,17.4,18.9,,17.4,174,396.9,,17.4,13.09
24.2,0.08826,,24.2,0,,24.2,10.81,,24.2,0,0,,24.2,41.3,0.413,,24.2,64.17,6.417,,24.2,6.6,,24.2,5.2873,,24.2,4,,24.2,242,305,,24.2,19.2,,24.2,242,383.73,,24.2,6.72
22.8,0.09164,,22.8,0,,22.8,10.81,,22.8,0,0,,22.8,41.3,0.413,,22.8,60.65,6.065,,22.8,7.8,,22.8,5.2873,,22.8,4,,22.8,228,305,,22.8,19.2,,22.8,228,390.91,,22.8,5.52
23.4,0.19539,,23.4,0,,23.4,10.81,,23.4,0,0,,23.4,41.3,0.413,,23.4,62.45,6.245,,23.4,6.2,,23.4,5.2873,,23.4,4,,23.4,234,305,,23.4,19.2,,23.4,234,377.17,,23.4,7.54
24.1,0.07896,,24.1,0,,24.1,12.83,,24.1,0,0,,24.1,43.7,0.437,,24.1,62.73,6.273,,24.1,6,,24.1,4.2515,,24.1,5,,24.1,241,398,,24.1,18.7,,24.1,241,394.92,,24.1,6.78
21.4,0.09512,,21.4,0,,21.4,12.83,,21.4,0,0,,21.4,43.7,0.437,,21.4,62.86,6.286,,21.4,45,,21.4,4.5026,,21.4,5,,21.4,214,398,,21.4,18.7,,21.4,214,383.23,,21.4,8.94
20,0.10153,,20,0,,20,12.83,,20,0,0,,20,43.7,0.437,,20,62.79,6.279,,20,74.5,,20,4.0522,,20,5,,20,200,398,,20,18.7,,20,200,373.66,,20,11.97
20.8,0.08707,,20.8,0,,20.8,12.83,,20.8,0,0,,20.8,43.7,0.437,,20.8,61.4,6.14,,20.8,45.8,,20.8,4.0905,,20.8,5,,20.8,208,398,,20.8,18.7,,20.8,208,386.96,,20.8,10.27
28,0.04113,,28,25,,28,4.86,,28,0,0,,28,42.6,0.426,,28,67.27,6.727,,28,33.5,,28,5.4007,,28,4,,28,280,281,,28,19,,28,280,396.9,,28,5.29
23.9,0.04462,,23.9,25,,23.9,4.86,,23.9,0,0,,23.9,42.6,0.426,,23.9,66.19,6.619,,23.9,70.4,,23.9,5.4007,,23.9,4,,23.9,239,281,,23.9,19,,23.9,239,395.63,,23.9,7.22
22.9,0.03551,,22.9,25,,22.9,4.86,,22.9,0,0,,22.9,42.6,0.426,,22.9,61.67,6.167,,22.9,46.7,,22.9,5.4007,,22.9,4,,22.9,229,281,,22.9,19,,22.9,229,390.64,,22.9,7.51
23.9,0.05059,,23.9,0,,23.9,4.49,,23.9,0,0,,23.9,44.9,0.449,,23.9,63.89,6.389,,23.9,48,,23.9,4.7794,,23.9,3,,23.9,239,247,,23.9,18.5,,23.9,239,396.9,,23.9,9.62
26.6,0.05735,,26.6,0,,26.6,4.49,,26.6,0,0,,26.6,44.9,0.449,,26.6,66.3,6.63,,26.6,56.1,,26.6,4.4377,,26.6,3,,26.6,266,247,,26.6,18.5,,26.6,266,392.3,,26.6,6.53
22.5,0.05188,,22.5,0,,22.5,4.49,,22.5,0,0,,22.5,44.9,0.449,,22.5,60.15,6.015,,22.5,45.1,,22.5,4.4272,,22.5,3,,22.5,225,247,,22.5,18.5,,22.5,225,395.99,,22.5,12.86
22.2,0.07151,,22.2,0,,22.2,4.49,,22.2,0,0,,22.2,44.9,0.449,,22.2,61.21,6.121,,22.2,56.8,,22.2,3.7476,,22.2,3,,22.2,222,247,,22.2,18.5,,22.2,222,395.15,,22.2,8.44
23.6,0.0566,,23.6,0,,23.6,3.41,,23.6,0,0,,23.6,48.9,0.489,,23.6,70.07,7.007,,23.6,86.3,,23.6,3.4217,,23.6,2,,23.6,236,270,,23.6,17.8,,23.6,236,396.9,,23.6,5.5
28.7,0.05302,,28.7,0,,28.7,3.41,,28.7,0,0,,28.7,48.9,0.489,,28.7,70.79,7.079,,28.7,63.1,,28.7,3.4145,,28.7,2,,28.7,287,270,,28.7,17.8,,28.7,287,396.06,,28.7,5.7
22.6,0.04684,,22.6,0,,22.6,3.41,,22.6,0,0,,22.6,48.9,0.489,,22.6,64.17,6.417,,22.6,66.1,,22.6,3.0923,,22.6,2,,22.6,226,270,,22.6,17.8,,22.6,226,392.18,,22.6,8.81
25,0.02875,,25,28,,25,15.04,,25,0,0,,25,46.4,0.464,,25,62.11,6.211,,25,28.9,,25,3.6659,,25,4,,25,250,270,,25,18.2,,25,250,396.33,,25,6.21
20.6,0.04294,,20.6,28,,20.6,15.04,,20.6,0,0,,20.6,46.4,0.464,,20.6,62.49,6.249,,20.6,77.3,,20.6,3.615,,20.6,4,,20.6,206,270,,20.6,18.2,,20.6,206,396.9,,20.6,10.59
21.4,0.11504,,21.4,0,,21.4,2.89,,21.4,0,0,,21.4,44.5,0.445,,21.4,61.63,6.163,,21.4,69.6,,21.4,3.4952,,21.4,2,,21.4,214,276,,21.4,18,,21.4,214,391.83,,21.4,11.34
27.5,0.14866,,27.5,0,,27.5,8.56,,27.5,0,0,,27.5,52,0.52,,27.5,67.27,6.727,,27.5,79.9,,27.5,2.7778,,27.5,5,,27.5,275,384,,27.5,20.9,,27.5,275,394.76,,27.5,9.42
26.5,0.11432,,26.5,0,,26.5,8.56,,26.5,0,0,,26.5,52,0.52,,26.5,67.81,6.781,,26.5,71.3,,26.5,2.8561,,26.5,5,,26.5,265,384,,26.5,20.9,,26.5,265,395.58,,26.5,7.67
18.6,0.22876,,18.6,0,,18.6,8.56,,18.6,0,0,,18.6,52,0.52,,18.6,64.05,6.405,,18.6,85.4,,18.6,2.7147,,18.6,5,,18.6,186,384,,18.6,20.9,,18.6,186,70.8,,18.6,10.63
19.3,0.21161,,19.3,0,,19.3,8.56,,19.3,0,0,,19.3,52,0.52,,19.3,61.37,6.137,,19.3,87.4,,19.3,2.7147,,19.3,5,,19.3,193,384,,19.3,20.9,,19.3,193,394.47,,19.3,13.44
19.5,0.1712,,19.5,0,,19.5,8.56,,19.5,0,0,,19.5,52,0.52,,19.5,58.36,5.836,,19.5,91.9,,19.5,2.211,,19.5,5,,19.5,195,384,,19.5,20.9,,19.5,195,395.67,,19.5,18.66
20.4,0.13117,,20.4,0,,20.4,8.56,,20.4,0,0,,20.4,52,0.52,,20.4,61.27,6.127,,20.4,85.2,,20.4,2.1224,,20.4,5,,20.4,204,384,,20.4,20.9,,20.4,204,387.69,,20.4,14.09
19.8,0.12802,,19.8,0,,19.8,8.56,,19.8,0,0,,19.8,52,0.52,,19.8,64.74,6.474,,19.8,97.1,,19.8,2.4329,,19.8,5,,19.8,198,384,,19.8,20.9,,19.8,198,395.24,,19.8,12.27
19.4,0.26363,,19.4,0,,19.4,8.56,,19.4,0,0,,19.4,52,0.52,,19.4,62.29,6.229,,19.4,91.2,,19.4,2.5451,,19.4,5,,19.4,194,384,,19.4,20.9,,19.4,194,391.23,,19.4,15.55
22.8,0.10084,,22.8,0,,22.8,10.01,,22.8,0,0,,22.8,54.7,0.547,,22.8,67.15,6.715,,22.8,81.6,,22.8,2.6775,,22.8,6,,22.8,228,432,,22.8,17.8,,22.8,228,395.59,,22.8,10.16
18.5,0.14231,,18.5,0,,18.5,10.01,,18.5,0,0,,18.5,54.7,0.547,,18.5,62.54,6.254,,18.5,84.2,,18.5,2.2565,,18.5,6,,18.5,185,432,,18.5,17.8,,18.5,185,388.74,,18.5,10.45
21.2,0.13158,,21.2,0,,21.2,10.01,,21.2,0,0,,21.2,54.7,0.547,,21.2,61.76,6.176,,21.2,72.5,,21.2,2.7301,,21.2,6,,21.2,212,432,,21.2,17.8,,21.2,212,393.3,,21.2,12.04
19.2,0.15098,,19.2,0,,19.2,10.01,,19.2,0,0,,19.2,54.7,0.547,,19.2,60.21,6.021,,19.2,82.6,,19.2,2.7474,,19.2,6,,19.2,192,432,,19.2,17.8,,19.2,192,394.51,,19.2,10.3
20.4,0.13058,,20.4,0,,20.4,10.01,,20.4,0,0,,20.4,54.7,0.547,,20.4,58.72,5.872,,20.4,73.1,,20.4,2.4775,,20.4,6,,20.4,204,432,,20.4,17.8,,20.4,204,338.63,,20.4,15.37
19.3,0.14476,,19.3,0,,19.3,10.01,,19.3,0,0,,19.3,54.7,0.547,,19.3,57.31,5.731,,19.3,65.2,,19.3,2.7592,,19.3,6,,19.3,193,432,,19.3,17.8,,19.3,193,391.5,,19.3,13.61
